"Id", "date_photo", "dossier_media", "photo", "photo_IR", "verite_terrain", "materiel", "focale", "sensibilite", "spectre_ir", "tps_expo", "hauteur", "largeur", "heure", "lieu", "region", "position_GPS", "direction_feu", "taux_occupation", "couleur_dominante", "densite", "taux_supperposition", "couleur_fumees", "luminosite", "vegetation", "moment", "nuage", "distance", "presence", "valid", "proprietaire", "sequence", "numimage"
"2819", "20/06/14", "00505", "seq05_rgb_025.png", "seq05_nir_025.png", "seq05_gt_025.png", "", "0", "0", "", "0", "294", "431", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "24", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "25"
"2820", "20/06/14", "00505", "seq05_rgb_026.png", "seq05_nir_026.png", "seq05_gt_026.png", "", "0", "0", "", "0", "184", "449", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "0", "34", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "26"
"2821", "20/06/14", "00505", "seq05_rgb_027.png", "seq05_nir_027.png", "seq05_gt_027.png", "", "0", "0", "", "0", "278", "451", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "30", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "27"
"2822", "20/06/14", "00505", "seq05_rgb_028.png", "seq05_nir_028.png", "seq05_gt_028.png", "", "0", "0", "", "0", "292", "426", "00:00:00", "Plateau expérimental - Corte", "", "", "", "8", "rouge/red", "0", "13", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "28"
"2823", "20/06/14", "00505", "seq05_rgb_029.png", "seq05_nir_029.png", "seq05_gt_029.png", "", "0", "0", "", "0", "322", "473", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "34", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "29"
"2824", "20/06/14", "00505", "seq05_rgb_030.png", "seq05_nir_030.png", "seq05_gt_030.png", "", "0", "0", "", "0", "248", "470", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "22", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "30"
"2825", "20/06/14", "00505", "seq05_rgb_031.png", "seq05_nir_031.png", "seq05_gt_031.png", "", "0", "0", "", "0", "368", "458", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "34", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "31"
"2826", "20/06/14", "00505", "seq05_rgb_032.png", "seq05_nir_032.png", "seq05_gt_032.png", "", "0", "0", "", "0", "235", "441", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "16", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "32"
"2827", "20/06/14", "00505", "seq05_rgb_033.png", "seq05_nir_033.png", "seq05_gt_033.png", "", "0", "0", "", "0", "316", "414", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "24", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "33"
"2828", "20/06/14", "00505", "seq05_rgb_034.png", "seq05_nir_034.png", "seq05_gt_034.png", "", "0", "0", "", "0", "314", "416", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "26", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "34"
"2829", "20/06/14", "00505", "seq05_rgb_035.png", "seq05_nir_035.png", "seq05_gt_035.png", "", "0", "0", "", "0", "404", "417", "00:00:00", "Plateau expérimental - Corte", "", "", "", "8", "rouge/red", "0", "44", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "35"
"2830", "20/06/14", "00505", "seq05_rgb_036.png", "seq05_nir_036.png", "seq05_gt_036.png", "", "0", "0", "", "0", "260", "418", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "27", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "36"
"2831", "20/06/14", "00505", "seq05_rgb_037.png", "seq05_nir_037.png", "seq05_gt_037.png", "", "0", "0", "", "0", "379", "398", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "30", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "37"
"2832", "20/06/14", "00505", "seq05_rgb_038.png", "seq05_nir_038.png", "seq05_gt_038.png", "", "0", "0", "", "0", "290", "396", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "25", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "38"
"2833", "20/06/14", "00505", "seq05_rgb_039.png", "seq05_nir_039.png", "seq05_gt_039.png", "", "0", "0", "", "0", "220", "412", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "14", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "39"
"2834", "20/06/14", "00505", "seq05_rgb_040.png", "seq05_nir_040.png", "seq05_gt_040.png", "", "0", "0", "", "0", "377", "409", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "39", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "40"
"2835", "20/06/14", "00505", "seq05_rgb_041.png", "seq05_nir_041.png", "seq05_gt_041.png", "", "0", "0", "", "0", "204", "394", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "30", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "41"
"2836", "20/06/14", "00505", "seq05_rgb_042.png", "seq05_nir_042.png", "seq05_gt_042.png", "", "0", "0", "", "0", "234", "367", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "33", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "42"
"2837", "20/06/14", "00505", "seq05_rgb_043.png", "seq05_nir_043.png", "seq05_gt_043.png", "", "0", "0", "", "0", "212", "413", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "23", "", "36", "", "", "0", "", "", "1", "Université de Corse", "5", "43"
"2838", "20/06/14", "00505", "seq05_rgb_044.png", "seq05_nir_044.png", "seq05_gt_044.png", "", "0", "0", "", "0", "319", "391", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "29", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "44"
"2839", "20/06/14", "00505", "seq05_rgb_045.png", "seq05_nir_045.png", "seq05_gt_045.png", "", "0", "0", "", "0", "125", "397", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "23", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "45"
"2840", "20/06/14", "00505", "seq05_rgb_046.png", "seq05_nir_046.png", "seq05_gt_046.png", "", "0", "0", "", "0", "144", "391", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "33", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "46"
"2841", "20/06/14", "00505", "seq05_rgb_047.png", "seq05_nir_047.png", "seq05_gt_047.png", "", "0", "0", "", "0", "226", "431", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "23", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "47"
"2842", "20/06/14", "00505", "seq05_rgb_048.png", "seq05_nir_048.png", "seq05_gt_048.png", "", "0", "0", "", "0", "214", "363", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "35", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "48"
"2843", "20/06/14", "00505", "seq05_rgb_049.png", "seq05_nir_049.png", "seq05_gt_049.png", "", "0", "0", "", "0", "214", "357", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "34", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "49"
"2844", "20/06/14", "00505", "seq05_rgb_050.png", "seq05_nir_050.png", "seq05_gt_050.png", "", "0", "0", "", "0", "118", "357", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "22", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "50"
"2845", "20/06/14", "00505", "seq05_rgb_051.png", "seq05_nir_051.png", "seq05_gt_051.png", "", "0", "0", "", "0", "178", "382", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "0", "44", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "51"
"2846", "20/06/14", "00505", "seq05_rgb_052.png", "seq05_nir_052.png", "seq05_gt_052.png", "", "0", "0", "", "0", "117", "376", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "30", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "52"
"2847", "20/06/14", "00505", "seq05_rgb_053.png", "seq05_nir_053.png", "seq05_gt_053.png", "", "0", "0", "", "0", "84", "382", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "36", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "53"
"2848", "20/06/14", "00505", "seq05_rgb_054.png", "seq05_nir_054.png", "seq05_gt_054.png", "", "0", "0", "", "0", "76", "358", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "0", "46", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "54"
"2849", "20/06/14", "00505", "seq05_rgb_055.png", "seq05_nir_055.png", "seq05_gt_055.png", "", "0", "0", "", "0", "118", "356", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "44", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "55"
"2850", "20/06/14", "00505", "seq05_rgb_056.png", "seq05_nir_056.png", "seq05_gt_056.png", "", "0", "0", "", "0", "97", "351", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "29", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "56"
"2851", "20/06/14", "00505", "seq05_rgb_057.png", "seq05_nir_057.png", "seq05_gt_057.png", "", "0", "0", "", "0", "75", "369", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "32", "", "41", "", "", "0", "", "", "1", "Université de Corse", "5", "57"
"2731", "20/06/14", "00504", "seq04_rgb_001.png", "seq04_nir_001.png", "seq04_gt_001.png", "", "0", "0", "", "0", "344", "293", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "16", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "1"
"2732", "20/06/14", "00504", "seq04_rgb_002.png", "seq04_nir_002.png", "seq04_gt_002.png", "", "0", "0", "", "0", "203", "304", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "17", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "2"
"2733", "20/06/14", "00504", "seq04_rgb_003.png", "seq04_nir_003.png", "seq04_gt_003.png", "", "0", "0", "", "0", "333", "283", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "1", "33", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "3"
"2734", "20/06/14", "00504", "seq04_rgb_004.png", "seq04_nir_004.png", "seq04_gt_004.png", "", "0", "0", "", "0", "277", "275", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "22", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "4"
"2735", "20/06/14", "00504", "seq04_rgb_005.png", "seq04_nir_005.png", "seq04_gt_005.png", "", "0", "0", "", "0", "296", "308", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "27", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "5"
"2736", "20/06/14", "00504", "seq04_rgb_006.png", "seq04_nir_006.png", "seq04_gt_006.png", "", "0", "0", "", "0", "300", "309", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "14", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "6"
"2737", "20/06/14", "00504", "seq04_rgb_007.png", "seq04_nir_007.png", "seq04_gt_007.png", "", "0", "0", "", "0", "283", "387", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "1", "23", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "7"
"2738", "20/06/14", "00504", "seq04_rgb_008.png", "seq04_nir_008.png", "seq04_gt_008.png", "", "0", "0", "", "0", "299", "302", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "38", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "8"
"2739", "20/06/14", "00504", "seq04_rgb_009.png", "seq04_nir_009.png", "seq04_gt_009.png", "", "0", "0", "", "0", "247", "331", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "31", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "9"
"2740", "20/06/14", "00504", "seq04_rgb_010.png", "seq04_nir_010.png", "seq04_gt_010.png", "", "0", "0", "", "0", "245", "325", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "1", "19", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "10"
"2741", "20/06/14", "00504", "seq04_rgb_011.png", "seq04_nir_011.png", "seq04_gt_011.png", "", "0", "0", "", "0", "227", "304", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "20", "", "36", "", "", "0", "", "", "1", "Université de Corse", "4", "11"
"2742", "20/06/14", "00504", "seq04_rgb_012.png", "seq04_nir_012.png", "seq04_gt_012.png", "", "0", "0", "", "0", "165", "363", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "21", "", "36", "", "", "0", "", "", "1", "Université de Corse", "4", "12"
"2743", "20/06/14", "00504", "seq04_rgb_013.png", "seq04_nir_013.png", "seq04_gt_013.png", "", "0", "0", "", "0", "266", "281", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "27", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "13"
"2744", "20/06/14", "00504", "seq04_rgb_014.png", "seq04_nir_014.png", "seq04_gt_014.png", "", "0", "0", "", "0", "257", "310", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "24", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "14"
"2745", "20/06/14", "00504", "seq04_rgb_015.png", "seq04_nir_015.png", "seq04_gt_015.png", "", "0", "0", "", "0", "256", "368", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "26", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "15"
"2746", "20/06/14", "00504", "seq04_rgb_016.png", "seq04_nir_016.png", "seq04_gt_016.png", "", "0", "0", "", "0", "175", "291", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "8", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "16"
"2747", "20/06/14", "00504", "seq04_rgb_017.png", "seq04_nir_017.png", "seq04_gt_017.png", "", "0", "0", "", "0", "185", "249", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "9", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "17"
"2748", "20/06/14", "00504", "seq04_rgb_018.png", "seq04_nir_018.png", "seq04_gt_018.png", "", "0", "0", "", "0", "153", "273", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "15", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "18"
"2749", "20/06/14", "00504", "seq04_rgb_019.png", "seq04_nir_019.png", "seq04_gt_019.png", "", "0", "0", "", "0", "167", "238", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "10", "", "36", "", "", "0", "", "", "1", "Université de Corse", "4", "19"
"2750", "20/06/14", "00504", "seq04_rgb_020.png", "seq04_nir_020.png", "seq04_gt_020.png", "", "0", "0", "", "0", "122", "275", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "19", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "20"
"2751", "20/06/14", "00504", "seq04_rgb_021.png", "seq04_nir_021.png", "seq04_gt_021.png", "", "0", "0", "", "0", "176", "251", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "20", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "21"
"2752", "20/06/14", "00504", "seq04_rgb_022.png", "seq04_nir_022.png", "seq04_gt_022.png", "", "0", "0", "", "0", "185", "325", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "29", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "22"
"2753", "20/06/14", "00504", "seq04_rgb_023.png", "seq04_nir_023.png", "seq04_gt_023.png", "", "0", "0", "", "0", "149", "261", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "31", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "23"
"2754", "20/06/14", "00504", "seq04_rgb_024.png", "seq04_nir_024.png", "seq04_gt_024.png", "", "0", "0", "", "0", "142", "322", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "37", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "24"
"2755", "20/06/14", "00504", "seq04_rgb_025.png", "seq04_nir_025.png", "seq04_gt_025.png", "", "0", "0", "", "0", "165", "281", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "18", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "25"
"2756", "20/06/14", "00504", "seq04_rgb_026.png", "seq04_nir_026.png", "seq04_gt_026.png", "", "0", "0", "", "0", "186", "301", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "29", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "26"
"2757", "20/06/14", "00504", "seq04_rgb_027.png", "seq04_nir_027.png", "seq04_gt_027.png", "", "0", "0", "", "0", "117", "229", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "13", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "27"
"2758", "20/06/14", "00504", "seq04_rgb_028.png", "seq04_nir_028.png", "seq04_gt_028.png", "", "0", "0", "", "0", "130", "233", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "29", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "28"
"2759", "20/06/14", "00504", "seq04_rgb_029.png", "seq04_nir_029.png", "seq04_gt_029.png", "", "0", "0", "", "0", "191", "211", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "21", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "29"
"2760", "20/06/14", "00504", "seq04_rgb_030.png", "seq04_nir_030.png", "seq04_gt_030.png", "", "0", "0", "", "0", "163", "209", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "20", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "30"
"2761", "20/06/14", "00504", "seq04_rgb_031.png", "seq04_nir_031.png", "seq04_gt_031.png", "", "0", "0", "", "0", "220", "210", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "1", "16", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "31"
"2762", "20/06/14", "00504", "seq04_rgb_032.png", "seq04_nir_032.png", "seq04_gt_032.png", "", "0", "0", "", "0", "253", "211", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "26", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "32"
"2763", "20/06/14", "00504", "seq04_rgb_033.png", "seq04_nir_033.png", "seq04_gt_033.png", "", "0", "0", "", "0", "202", "261", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "orange/orange", "1", "19", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "33"
"2764", "20/06/14", "00504", "seq04_rgb_034.png", "seq04_nir_034.png", "seq04_gt_034.png", "", "0", "0", "", "0", "263", "241", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "1", "32", "", "37", "", "", "0", "", "", "1", "Université de Corse", "4", "34"
